Номер,Вопрос,Ответ
109,Какие существуют способы предотвращения конфликтов по управлению через branch prediction? Что такое статические предсказатели переходов?,"Структура ответа: дать классификацию и коротко пояснить пункты. Конфликт по управлению - конфликт из-за операций условного/ безусловного перехода. Проблема в том, что в конвейер в момент исполнения инструкции перехода уже будут загружены и исполнены части инструкций, которые возможно ввиду перехода исполнять не надо было. Предсказание переходов (branch prediction) - если мы будем хорошо угадывать результат операций перехода (с вер."
110,Что представляют собой динамические предсказатели переходов в конвейере?,"Ответ. (повторим прошлый вопрос:) Конфликт по управлению - конфликт из-за операций условного/ безусловного перехода. Проблема в том, что в конвейер в момент исполнения инструкции перехода уже будут загружены и исполнены части инструкций, которые возможно ввиду перехода исполнять не надо. Предсказание переходов (branch prediction) - если мы будем хорошо угадывать результат операций перехода (с вер."
111,Как влияют различные виды конфликтов на производительность конвейера?,Структура ответа: дать классификацию и коротко пояснить пункты. По сути они все снижают производительность/ пропускную способность. Снизу нейронка достаточно хорошо описала почему именно каждый конфликт приводит к этому:
112,Как связаны конвейерное исполнение и спекулятивное исполнение инструкций?,"Ответ. Спекулятивное исполнение - это когда мы выполняем какую-то работу, еще не зная, пригодится нам ее результат или нет просто чтобы, например, не простаивать. Соответсвенно в конвейерном исполнении это применяется как способ разрешения конфликта по управлению, когда мы заранее загружаем инструкции в конвейер еще даже не зная, произойдет ли у нас условный переход или нет."
113,Каковы шаги типового взаимодействия с устройством ввода-вывода? Каков интерфейс устройства для процессора?,"Структура ответа: дать классификацию и коротко пояснить пункты. Типовое взаимодействие: Конфигурация внешнего устройства Проверка состояния (готово ли оно?) Отправка данных Проверка статуса ответа (можно ли читать ответ?) Чтение ответа Интерфейс ввода-вывода для процессора почти всегда выглядит как набор ячеек памяти или регистров, с которыми идет взаимодействие. Они подразделяются на: Регистры данных (полезная нагрузка) Регистры статуса Над всем этим нам нужен протокол взаимодействия, иначе ничего, конечно, не будет работать."
114,Как реализуется ввод-вывод с точки зрения системы команд в Port Mapped IO?,"Механизм. Port Mapped IO (PMIO) - способ организации ввода-вывода, когда для регистров внешнего устройства у нас есть отдельное адресное пространство и, как правило, даже отдельные инструкции процессора, позволяющие с этими регистрами взаимодействовать. Напр. in 15 , out 20 Прямо отвечая на поставленный вопрос: С точки зрения системы команд это реализуется отдельными инструкциями, с отдельной адресацией и вообще полностью изолированно от основной памяти"
115,Как реализуется ввод-вывод с точки зрения системы команд в Memory Mapped IO?,"Механизм. Memory Mapped IO (MMIO) - способ организации ввода-вывода, когда наше устройство ""подключается"" по некоторым магическим адресам в RAM, в связи с чем читая или записывая по этим адресам мы работаем не с памятью, а с внешним устройством. Для процессора выглядит как работа с памятью Более формально: Прямо отвечая на поставленный вопрос: С точки зрения системы команд это реализуется теми же инструкциями, что и для работы с памятью, никаких дополнительных инструкций не вводится"
116,Как устроен ввод-вывод в Memory Mapped IO с точки зрения устройства процессора?,"Ответ. Memory Mapped IO (MMIO) - способ организации ввода-вывода, когда наше устройство ""подключается"" по некоторым магическим адресам в RAM, в связи с чем читая или записывая по этим адресам мы работаем не с памятью, а с внешним устройством. Для процессора выглядит как работа с памятью ""Под капотом"" (=с точки зрения устройства процессора, его микроархитектуры) это устроено так: Процессор обращается к памяти, но если это адрес IO, то Address Code Decoder выключает (с помощью cs - chip select) RAM и подключает нужный интерфейс, который выставит на..."
117,Как работает программно-управляемый ввод-вывод без прерываний? Каковы его ограничения и типовой сценарий?,"Структура ответа: дать классификацию и коротко пояснить пункты. Как связан с теоремой Котельникова? Самый типичный подход к реализации программно-управляемого ввода-вывода без прерываний: Периодически опрашиваем устройство IO Если надо, реагируем Проблемы в общем следующие: Высокое энергопотребление (процессор постоянно занят выоплнением инструкций периодической проверки) тяжело совмещать с другими задачами тяжело обрабатывать сложный протокол ввода-вывода (SPI например) ! НО, он выиграывает у подхода с прерываниями, когда у нас очень плотный поток обрабатываемых событий."
118,Что такое дребезг контактов? В чём разница между уровнем и сигналом применительно к кнопке? Как с дребезгом бороться программно?,"Определение. Дребезг контактов — это физическое явление, при котором в момент замыкания или размыкания механических контактов (кнопки, тумблера, реле) вместо одного четкого перехода уровня напряжения возникает серия быстрых, хаотичных микро-замыканий и размыканий По сути сигнал в данном случае это изменения состояния кнопки, с не нажатого, на нажатое. Уровень же в момент дребезга слабо соотносится с сигналом, поэтому применют стратегии антидребезга. Программно можно после зафиксированного изменения состояния подождать, например сделать искусственную задержку."
119,Как реализовать псевдо-параллельный программно- управляемый ввод-вывод в одном потоке исполнения (state machine)?,"Ответ. Параллельный программно-управляемый ввод-вывод - это процесс ввода-вывода без прерываний , когда обработчику одного устройства не отдается весь поток управления (не занимает собой все время процессора), он делит этот поток с другими обработчиками. Этот параллелелизм можно сделать с помощью конечных автоматов. На примере опороса кнопок: у кнопки может быть состояние ""нажата"", и ""не нажата""."
120,"Какие существуют уровни параллелизма: бит, инструкций и задач? Приведите примеры.","Структура ответа: дать классификацию и коротко пояснить пункты. Виды параллелелизма: Уровень битов Мы обрабатываем не по одному биту, а сразу несколько. Например, складываем 8-битные числа, проводим битовые операции сразу для 32-битного слова, пересылаем 32-битные регистры в память. Все это делается не для одного бита, а сразу для всех, параллельно Уровень команд Когда мы можем выполнять сразу несколько инструкций параллельно. Например, с помощью конвейера, суперскалярности. Уровень задач Когда мы выполняем несколько (в общем случае независимых) алгоритмов одновременно, параллельно"
121,В чём разница между параллелизмом и конкурентностью (concurrency)? Приведите примеры.,"Ответ. Очень классная картинка: Слева конкурентность (concurrency), человечек (исполнитель) один, но он по очереди выполняет две разные задачи (закидывает вещи в машинку), что при быстрой работе человечка можно считать параллельным наполнением обеих машинок. Справа ""реальный параллелелизм"", когда у нас два человечка исполнителя которые реально параллельно наполняют две машины (выполняют две задачи параллельно)"
122,В чём заключается проблема реализации параллелизма уровня задач в архитектуре фон Неймана?,"Ответ. Основная проблема - архитектура фон Неймана не предназначена для такого параллелелизма. У нас один поток инструкций, он не может ""приостанавливаться"", он работает пока не встретит halt . Поэтому приходится делать всякие костыли, а объединение двух вычислителей архитектуры фон Неймана сразу порождает огромное количесвто проблем с синхронизацией, объединением памяти, тактовыми сигналами, конфликтами и прочим прочим прочим"
123,"Сравните кооперативную и вытесняющую многозадачность: достоинства, недостатки и область применения каждой.","Сравнение. Кооперативная многозадачность - когда у нас несколько процессов, но они все ""дружат"" между собой и готовы к кооперации, никто не будет делать нехорошие вещи и занимать поток надолго или блокировать его. Достоинства: Атомрность задач (никто не прервет задачу, у нас сразу атомарность) Контроль за ресурсами со стороны задачи - задача сама решает, сколько ей надо взять ресурсов Легко реализовать (программная реализация достаточно проста и эффективна, как в примере с кнопками) Недостатки: Контроль за ресурсами со стороны задачи - если задача..."
124,Какие механизмы необходимы для реализации кооперативной многозадачности?,"Ответ. Нужно реализовать механизмы: остановки : задача добровольно передает управление диспетчеру сохранения состояния задачи: все состояние всего ее окружение а затем как-то уметь восстановить планирования : диспетчеризация порядка выполнения задач (кто будет выполняться следующим?) возобновление : восстановить состояние, на котором задача прервалась, передать ей управление Далее есть опциональные механизмы: изоляция задач: чтобы процессы не портили друг друга взаимодействие между задачами: очень часто стоит задача взаимодействия между процессами, они связаны"
125,Как взаимодействуют кооперативная многозадачность и система прерываний?,"Ответ. По сути в кооперативной многозадачности система прерываний не используется, если только механизм добровольной остановки задачи не реализован через вызов программного прерывания, что было бы странно, ведь проще делать это через системный вызов. пропустил я этот вопрос к сожалению, в лекции не сказано про это :( просто можно поговорить про кооперативную многозадачность и систему прерываний Кстати использование кооперативной многозадачности не отменяет аппаратные прерывания, и их все еще можно использовать для реализации протоколов /..."
126,Как реализуется кооперативная многозадачность на уровне приложения через Event-loop?,"Механизм. По сути Event Loop - один из главных механзмов Node.js и один из способов реализации кооперативной многозадачности. По центру у нас есть цикл событий , который проверяет нет ли новых запросов. Как только в очереди появляется запрос, он начинает его выполнять и выполняет, пока не нужно будет использовать что-то внешнее (диск, базу данных, еще что-то). Когда мы натыкаемся на это, мы создаем заявку в операционную систему (делаем системный вызов, который ОС выполнит впоследствии), в очереди регистрируем колбэк и переключаемся на другую задачу."
127,Каковы достоинства и недостатки вытесняющей многозадачности?,"Структура ответа: дать классификацию и коротко пояснить пункты. Вытесняющая многозадачность - когда у нас несоклько процессов, которые ""думают"" (могут думать) что они самые главные, а значит могут занимать весь поток управления, блокировать его и так далее. Для обеспечения многозадачности таких процессов, нужен внешний механизм, который будет распределять ресурсы между этими задачами, приостанавливать одни и запускать другие. Переключение процессов может происходить буквально между любыми бвумя инструкциями Распределение процессорного времени осуществляется планировщиком Достоинства: Простота разработки ПО."
128,Какие механизмы необходимы для реализации вытесняющей многозадачности?,"Ответ. Необходимо реализовать механизмы (отличие от вопроса 123 только в первом пункте): остановки : задача добровольно передает управление диспетчеру <- это то, как было в вопросе 123. как здесь: прерывания : способ забрать поток управления у задачи, независимо от желания задачи сохранения состояния задачи: все состояние всего ее окружение а затем как-то уметь восстановить планирования : диспетчеризация порядка выполнения задач (кто будет выполняться следующим?) возобновление : восстановить состояние, на котором задача прервалась, передать ей управление..."
129,Что даёт переход от программно-управляемого ввода- вывода (polling) к вводу-выводу через систему прерываний с точки зрения эффективности и параллелизма уровня задач?,"Ответ. По сути приемущество, что нам не надо постоянно опрашивать состояние передачи и ждать готовности данных. Мы просто занимаемся своими делами, а когда данные будут готовы обрабатываем их в обработчике. Также и при передаче: загружаем данные, дальше передача идет ""сама"" прерывая основной поток иногда на очень короткое время, чтобы вытсавить новые уровни на шине. Так мы можем максимально быстро обрабатывать приходящие данные (не надо ждать следующую итерацию polling'а) и не занимать основной поток ожиданием, этим самым polling'ом."
130,Как по шагам происходит обработка прерывания?,"Ответ. У нас есть основной поток, где у нас выполняются инструкции. У нас есть система прерываний, которая позволяет процессору регистрировать какое-то событие (например, сработал аппаратный таймер). Когда это происходит и событие зарегистрировано, мы сохраняем текущее значение Program Counter и переходим по вектору прерывания (это адрес процедуры-обработчика прерывания, зачастую хранящийся где-то в отдельном месте в памяти), начинаем выполнять эту процедуру."
131,Почему появление системы прерываний приводит к автоматическому появлению параллелизма уровня задач?,"Причина. Охарактеризуйте его. Системы прерываний без многозадачности существовать не может! Как только появляется система прерываний, сразу же появляется разделение - основная программа, и программа обработчик прерываний. И мы переключаемся между этими ""задачами"", обеспечивая многозадачность. это можно так не рассматривать, но в подавляющем большинстве случаев основная программа и обработчик прерываний - дву абсолютно разные задачи, не синхронизированные между собой, еще и выполяющиеся параллельно независимо друг от друга."
132,"Как классифицируются прерывания по источнику (синхронные/асинхронные, аппаратные/программные)? Их отличительные особенности.","Ответ. Глобально есть два источника прерываний: Аппаратные (вызывается железом) Внешние или асинхронные (асинхроннен относительно инструкций процессора) Преполнение таймера, нажатие клавиши, приняли пакет по сети Внутренние или синхронные (синхронные относительно инструкций процессора) Деление на ноль, ошибка доступа к памяти, какая-то критическая ошибка Программные (вызывается инструкцией) Взаимодействие программы и операционной системы."
133,Каковы задачи контроллера прерываний? Что такое маскИруемые и немаскИруемые прерывания?,"Структура ответа: дать классификацию и коротко пояснить пункты. Относительный и абсолютный приоритеты? Контроллер прерываний (как реализация системы прерываний ), обычно реализовывается аппаратно (можно достичь очень высокой скорости обработки прерываний). Его задача - фиксация события, триггерящего прерывание, переключение контекста на его обработчик и возврат по завершению обработки. Прерывания можно разделить на: Маскируемые. Есть возможность запретить прерывание, установив, например, соответсвующий бит в регистре разрешения прерываний Немаскируемые."
134,"Какие виды событий существуют в системе прерываний (по фронту, по уровню, по сообщению, doorbell)? В чём особенности каждого?","Структура ответа: дать классификацию и коротко пояснить пункты. Виды прерываний (событий, триггерящих прерывания): По фронту. Изменение уровня на проводе. Например из 0 в 1. Или из 1 в 0 По уровню. Пока на линии есть какой-то уровень, будет триггериться прерывание По сообщению."
135,Что такое сторожевой таймер и каков принцип его работы?,"Определение. Сторожевой таймер - аппаратно реализованная схема контроля от зависания системы. Как это устроено: Есть система, которая имеет возможность перезагрузить весь процессор (Reset) и имеет возможность получать сигналы от процессора. Система (Watchdog Chip) внутри имеет таймер, который сбрасывается по сигналу от процессора. Если таймер превышает некоторый порог, то система считает, что процессор завис и перезагружает процессор нафиг."
136,Какие подходы существуют к решению проблемы изоляции регистров и инструкций в памяти при многозадачности?,"Ответ. Параллелелизм требует: Обеспечить взаимодействие между задачами (иногда это надо) Совмещение задач по используемым ресурсам: по процессорному времени, по памяти (инструкций/данных/ регистры) Изоляцию между задачами ответ по сути тот же что в 137, только изоляция регистров может быть: программным сохранением регистров в память (которая тоже как-то должна быть изолирована) лиьо у нас физически два набора регистров которые переключаются"
137,"Какие подходы существуют к решению проблемы изоляции данных в памяти (статика, куча, стек) при многозадачности?","Ответ. статика - она же статическая память секция .data куча - она же динамическая память . можно выделить там себе место, можно освободить. Находится под управлением выполняемой задачи стек - он же автоматическая память . выделяется и освобождается автоматически в зависимости от того, насоклько глубоко мы ушли во вложенные процедуры Многозадачность требует в том числе совмещение задач по используемым ресурсам, в частности по памяти."
138,Как банки памяти используются для расширения адресного пространства?,"Ответ. Идея банков памяти: давайте подключим к процессору несколько микросхем памяти. Тогда мы сможем, например, перевести процессор в определенный режим, режим записи в определенную микросхему памяти на шине и даже за счет этого получить возможность рулить бОльшим количеством памяти, чем позволяет процессор (=адресное пространство). Это и есть расширение адресного пространства (адресное пространство по сути расширяется за счет предзаданного неявного бита/битов выбора микросхемы памяти)."
139,Как банки памяти используются для расширения машинного слова?,"Ответ. Идея банков памяти: давайте подключим к процессору несколько микросхем памяти. Условимся, что в одном банке будут храниться младшие биты машинного слова, а во втором - старшие. Тогда при чтении каждый банк выставит нашину свою часть слова, а процессор будет иметь возможность прочитать информацию по объему бОльшую чем машинное слово каждого банка по отдельности. Здесь есть еще прикол с трансляцией адреса для каждого банка."
140,Что такое сегментная память? Как происходит трансляция адресов? Каковы достоинства и недостатки?,"Структура ответа: дать классификацию и коротко пояснить пункты. Сегментная память - идея о том, чтобы разделить физичекую память на сегменты, каждый их которых будет характеризоваться его номером, адресом начала и размером сегмента. При доступе в память мы будем указывать: какой сегмент нам нужен, какое смещение относительно него нам нужно сделать. По таблице сегментов по номеру сегмента ищем адрес начала сегмента в памяти. Проверяем смещение - если смещение больше размера сегмента - выдаем ошибку."
141,Что такое виртуальная память? Как происходит трансляция адресов? Каковы достоинства и недостатки?,"Структура ответа: дать классификацию и коротко пояснить пункты. Сегментная память не получила распространения потому, что становится сложной. нам надо придумать какой-то интерфейс, который бы сделал все гораздо проще. Сделаем так, что все будет обставлено так, будто каждой задаче предоставлено все адресное пространство и она вообще одна и делает что хочет. нам надо сделать какое-то отображение из адресов, которыми оперирует каждая задача в реальные адреса в памяти. Делается это так - разбиваем всю память на небольшие кусочки, назовем их страницы ."
142,Что такое внутренняя и внешняя фрагментация в контексте сегментной памяти?,Определение. см. 143
143,Что такое внутренняя и внешняя фрагментация в контексте виртуальной памяти?,"Определение. Внутренняя фрагментация - когда у нас появляется неиспользуемое пространтсво внутри сегмента/страницы, потому что выделили больше чем реально надо. Внешняя фрагментация - когда у нас появляется неиспользуемое пространство между выделенными сегментами/страницами. За счет требования к непрерывности выделяемого куска памяти маленькие кусочки, которые уже свободны могут оказаться невостребованными и простаивать."
144,Как появление сегментной памяти улучшило пользовательский опыт?,"Ответ. см. 140 для контекста В части пользовательского опыта (опыта человека, который получает возможность запускать программы и получать от этого бенефиты): Теперь стало возможным запускать программы, которые не оглядываются на другие и используют все адресное простанство."
145,Как появление виртуальной памяти улучшило пользовательский опыт?,"Ответ. см. 141 для контекста В части пользовательского опыта (опыта человека, который получает возможность запускать программы и получать от этого бенефиты): Теперь стало возможным запускать программы, которые не оглядываются на другие и используют все адресное простанство."
146,"Какие уровни (виды) задач существуют: основной поток, прерывание, процессы, потоки, зелёные потоки?",Структура ответа: дать классификацию и коротко пояснить пункты. Зеленые потоки - это реализация кооперативной многозадачности в каком-то отдельном потоке. Например для обеспечения работы асинхронности для какого-либо языка программирования.
147,Как могут взаимодействовать процессы через основной поток? Какие бывают разделяемые ресурсы?,"Ответ. Иногда процессам надо взаимодействовать (они же все таки на одной машине выполняются, а значит потенциально могут решать схожие задачи, требующие обмена информацией между потоками). Но проблема - каждый процесс изолирован по памяти и имеет свое адресное пространство. Пути решения: Shared Memory - когда некторые страницы доступны сразу для всех процессов Signals - один процесс может вызвать ""прерывание"" в другом процессе."
148,"Что такое процессоры ввода-вывода? Каковы их назначение, интерфейс, достоинства и недостатки?","Структура ответа: дать классификацию и коротко пояснить пункты. Процессор ввода вывода - отдельный процессор, стоящий рядом с основным. Ему во время работы основного процессора отправляется программа заточенная под задачи ввода/вывода, которую он начинает выполнять, а основной процессор занимается своими задачами. Это основаня задумка и приемущество - разгружает процессор от рутинных задач ввода/вывода Сейчас почти не применяется ввиду того что это оч сложная и специфичная конструкция. Заменена DMA с похожей концепцией но сильно проще."
149,Что такое контроллер прямого доступа к памяти (DMA)?,"Определение. Каковы его назначение, интерфейс, достоинства и недостатки? DMA - Direct Memory Access - контроллер прямого доступа к памяти - некоторое устройство, заточенное под то, чтобы работать с внешними устройствами, но главная его задача - получить блок данных от внешнего устройства, разместив его где скажут в памяти или выдать блок и попросить отправить его внешнему устройству."
150,Какие существуют способы интеграции и взаимодействия контроллера прямого доступа к памяти (DMA) с процессором?,"Структура ответа: дать классификацию и коротко пояснить пункты. DMA имеет доступ к памяти наравне с процессором. Отсюда проблема конфликта, когда оба хотят получить доступ к памяти. Как решить: Пакетный режим. Даем приоритет для DMA: пока обрабатывается очередной пакет, процессор ждет. Циклический режим."
151,Что такое гонка состояний (race condition)? Почему она возникает при вытесняющей многозадачности?,"Определение. Гонка состояний - когда результат выполнения программы зависит от порядка выполнения задач. Этот порядок в случае вытесняющей многозадачности непредсказуем. Возникает приемущественно именно при вытесняющей многозадачноти, потому что именно этот подход предпологает, что задача может быть приостановлена вообще между двумя любыми инструкциями."
152,"Как синхронизируются потоки? Что такое атомарная операция, мьютекс и семафор?","Определение. С целью избежать гонок состояний были придуманы разные ухищрения, в частности: Атомарная операция - операция, выполнение которой не может быть прервано. Если она начала выполняться, она выполняется полностью Мьютекс - некая программная сущность, которую одновременно может захватить только один поток. Реализована может быть разными способами, например с использованием разделенной памяти Семафор - общий случай мьютекса. Некая программная сущность, которую одновременно может захватить не более N потоков."
153,Почему необходима иерархия памяти в современных компьютерных системах?,"Причина. Иерархия памяти возникает естественным образом из такого свойства памяти - чем память быстрее, тем она дороже. Из-за этого так, что у нас есть очень ограниченное количество быстрой памяти и очень много медленной. Возникает иерархия, ""пирамида"" когда мы комбинируем разные виды памяти, чтобы эффективнее решать свои задачи"
154,Какие основные виды памяти входят в иерархию памяти и каковы их характеристики?,"Структура ответа: дать классификацию и коротко пояснить пункты. См. пирамиду памяти из курсов Клименкова. Ну или вот: По скорости идут: Процессор, его регистры -> его кэши -> физическая память -> ssd диски -> механические жесткие диски -> всяике сетевые диски, магнитные ленты и т.д."
155,В чём различие между явной иерархией памяти и скрытой?,"Сравнение. Приведите примеры. Есть два иерархии памяти с точки зрения того, как это все выглядит для разработчика: Явная иерархия - мы четко можем определить, какой тип памяти в какой момент времени для хранения чего конкретно будет использован. С расчетом на то, что мы как программисты лучше знаем, что лучше положить в SRAM что в DRAM что на HDD. Скрытая иерархия - мы как программисты имеем доступ ко всей памяти, а наша система пытается на лету все подстроить и хранить так, чтобы было максимально быстро и эффективно."
